Date,Country,debt
2005,US,0
2006,US,0
2007,US,477.6
2008,US,727.4
2009,US,894.8
2010,US,1160.1
2011,US,1151.9
2012,US,1220.4
2013,US,1270.1
2014,US,1244.3
2015,US,1246.1
2016,US,1058.4
2017,US,1184.9
2018,US,1124.3
2019,US,1069.9
2020,US,1072.3
2005,Pakistan,0
2006,Pakistan,0
2007,Pakistan,0
2008,Pakistan,0
2009,Pakistan,0
2010,Pakistan,0
2011,Pakistan,0
2012,Pakistan,0
2013,Pakistan,0
2014,Pakistan,0
2015,Pakistan,0
2016,Pakistan,0
2017,Pakistan,7.2
2018,Pakistan,19
2019,Pakistan,0
2020,Pakistan,30
2005,Africa,2
2006,Africa,5
2007,Africa,6
2008,Africa,4
2009,Africa,6
2010,Africa,7
2011,Africa,10
2012,Africa,13
2013,Africa,18
2014,Africa,15
2015,Africa,13
2016,Africa,30
2017,Africa,0
2018,Africa,0
2019,Africa,0
2020,Africa,0
